date,key_rate,usd_rub,eur_rub,cny_rub,inflation,oil_price,key_rate_lag1,usd_rub_lag1,oil_price_lag1,key_rate_lag7,usd_rub_lag7,oil_price_lag7,key_rate_lag30,usd_rub_lag30,oil_price_lag30,usd_rub_change_1d,key_rate_change_1d,oil_price_change_1d,usd_rub_change_7d,key_rate_change_7d,oil_price_change_7d,usd_rub_change_30d,key_rate_change_30d,oil_price_change_30d,usd_rub_ma30,oil_price_ma30,rate_spread,oil_spread
2022-10-01,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,18.0,89.44073825789418,98.923874781581,12.497103822269617,9.0,82.76295303157673,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,18.0,90.32142774698147,99.3104619726759,12.689670245658322,9.0,86.2857109879259,18.0,89.44073825789418,82.76295303157673,,,,,,,0.9846625891525074,0.0,4.256443042825109,,,,,,,,,,
2025-02-21,18.0,89.32435479865079,98.19195375250158,12.564115425270565,9.0,82.29741919460314,18.0,90.32142774698147,86.2857109879259,,,,,,,-1.1039162834358573,0.0,-4.622192652362623,,,,,,,,,,
2025-02-22,18.0,89.8499356065859,98.06666382205347,12.579645850702482,9.0,84.3997424263436,18.0,89.32435479865079,82.29741919460314,,,,,,,0.5883958626063945,0.0,2.55454332871512,,,,,,,,,,
2025-02-23,18.0,89.49783108685304,98.30521949078066,12.583938749112637,9.0,82.99132434741219,18.0,89.8499356065859,84.3997424263436,,,,,,,-0.3918806589629398,0.0,-1.6687468923978543,,,,,,,,,,
2025-02-24,18.0,90.06341234256747,98.57112109784002,12.527981338666867,9.0,85.25364937026993,18.0,89.49783108685304,82.99132434741219,,,,,,,0.6319496783844691,0.0,2.7259777339946556,,,,,,,,,,
2025-02-25,18.0,89.81682916143112,98.56658486282126,12.730146625832193,9.0,84.26731664572449,18.0,90.06341234256747,85.25364937026993,,,,,,,-0.2737884061048579,0.0,-1.1569390071052954,,,,,,,,,,
2025-02-26,18.0,90.08838105162513,98.54812596489859,12.711636157525463,9.0,85.35352420650052,18.0,89.81682916143112,84.26731664572449,18.0,89.44073825789418,82.76295303157673,,,,0.3023396536365741,0.0,1.2890021944601093,0.7241026922916616,0.0,3.1301096445113696,,,,,,,
2025-02-27,18.0,90.01117527748319,98.78783861157501,12.46707176014113,9.0,85.04470110993273,18.0,90.08838105162513,85.35352420650052,18.0,90.32142774698147,86.2857109879259,,,,-0.08570003505524726,0.0,-0.361816456249231,-0.3434981900057976,0.0,-1.4382565360872124,,,,,,,
2025-02-28,18.0,89.50667048613795,98.25428235624005,12.423423563247638,9.0,83.02668194455178,18.0,90.01117527748319,85.04470110993273,18.0,89.32435479865079,82.29741919460314,,,,-0.560491283210085,0.0,-2.372892301393781,0.20410523859715202,0.0,0.8861307645920302,,,,,,,
2025-03-01,18.0,90.3134385317645,99.39315984416035,12.539189219436341,9.0,86.25375412705804,18.0,89.50667048613795,83.02668194455178,18.0,89.8499356065859,84.3997424263436,,,,0.9013496326528037,0.0,3.8867892910154023,0.5158633916089617,0.0,2.196703031804237,,,,,,,
2025-03-02,18.0,89.97561717407844,98.16580396034063,12.664383401460636,9.0,84.90246869631378,18.0,90.3134385317645,86.25375412705804,18.0,89.49783108685304,82.99132434741219,,,,-0.37405436353444843,0.0,-1.5666395560635316,0.5338521407985075,0.0,2.302824257751679,,,,,,,
2025-03-03,18.0,89.50573549606705,97.7335499718011,12.402330192807641,9.0,83.0229419842682,18.0,89.97561717407844,84.90246869631378,18.0,90.06341234256747,85.25364937026993,,,,-0.5222322366539522,0.0,-2.213748010989436,-0.6192046603555657,0.0,-2.616553546363054,,,,,,,
2025-03-04,18.0,91.1204632781029,100.41346674127847,12.7237624255136,9.0,89.48185311241159,18.0,89.50573549606705,83.0229419842682,18.0,89.81682916143112,84.26731664572449,,,,1.8040495093264886,0.0,7.779670261946703,1.451436360917091,0.0,6.188088898819433,,,,,,,
2025-03-05,18.0,90.23821508335857,98.86331753315939,12.678820551311878,9.0,85.95286033343424,18.0,91.1204632781029,89.48185311241159,18.0,90.08838105162513,85.35352420650052,,,,-0.9682218055144021,0.0,-3.9438083323375506,0.1663189303485968,0.0,0.7021808794722029,,,,,,,
2025-03-06,18.0,89.92336972330035,99.45297159074535,12.582655167807408,9.0,84.69347889320139,18.0,90.23821508335857,85.95286033343424,18.0,90.01117527748319,85.04470110993273,,,,-0.34890468496897586,0.0,-1.4652001519756097,-0.09754961415863184,0.0,-0.4129854207816419,,,,,,,
2025-03-07,18.0,90.7076022633509,99.89099735069352,12.7249530684404,9.0,87.83040905340364,18.0,89.92336972330035,84.69347889320139,18.0,89.50667048613795,83.02668194455178,,,,0.8721120465833065,0.0,3.7038626836405353,1.3417232153652092,0.0,5.7857630780186575,,,,,,,
2025-03-08,18.0,90.9209078046933,100.31637966026584,12.622346821522187,9.0,88.68363121877321,18.0,90.7076022633509,87.83040905340364,18.0,90.3134385317645,86.25375412705804,,,,0.23515729224448112,0.0,0.9714427776953416,0.6726233468733911,0.0,2.8171261834421646,,,,,,,
2025-03-09,18.0,89.92732528884305,99.62540397793782,12.649310977777752,9.0,84.70930115537223,18.0,90.9209078046933,88.68363121877321,18.0,89.97561717407844,84.90246869631378,,,,-1.092798719063126,0.0,-4.481469701659746,-0.05367219114702504,0.0,-0.22751698967963252,,,,,,,
2025-03-10,18.0,90.17369874321739,99.03621321163584,12.562996634802834,9.0,85.69479497286953,18.0,89.92732528884305,84.70930115537223,18.0,89.50573549606705,83.0229419842682,,,,0.2739695121399377,0.0,1.1633832460614002,0.7462798260338133,0.0,3.2182104424914426,,,,,,,
2025-03-11,18.0,89.50599859099853,98.16935509739027,12.498377835300001,9.0,83.02399436399412,18.0,90.17369874321739,85.69479497286953,18.0,91.1204632781029,89.48185311241159,,,,-0.7404599805983625,0.0,-3.1166427432622656,-1.771791570217296,0.0,-7.216947932788987,,,,,,,
2025-03-12,18.0,89.926403624616,99.35489527987703,12.61346968023684,9.0,84.70561449846397,18.0,89.50599859099853,83.02399436399412,18.0,90.23821508335857,85.95286033343424,,,,0.46969481401859525,0.0,2.0254628163242527,-0.3455425824353098,0.0,-1.4510812439887055,,,,,,,
2025-03-13,18.0,89.90046872312007,99.14527237739694,12.596373443389895,9.0,84.60187489248025,18.0,89.926403624616,84.70561449846397,18.0,89.92336972330035,84.69347889320139,,,,-0.028840140882524512,0.0,-0.12247075544868924,-0.02546723977399079,0.0,-0.1081594497218008,,,,,,,
2025-03-14,18.0,90.09241351681082,99.00798971358125,12.615335894255075,9.0,85.3696540672433,18.0,89.90046872312007,84.60187489248025,18.0,90.7076022633509,87.83040905340364,,,,0.21350811226792388,0.0,0.9075202833729312,-0.6782107907052914,0.0,-2.8017118588894663,,,,,,,
2025-03-15,18.0,90.1663802393185,99.87874724672834,12.548230551306917,9.0,85.66552095727403,18.0,90.09241351681082,85.3696540672433,18.0,90.9209078046933,88.68363121877321,,,,0.08210094459715211,0.0,0.3465714992796798,-0.8298724502350918,0.0,-3.403232614656726,,,,,,,
2025-03-16,18.0,90.27991422441403,99.20178349193549,12.609233050298045,9.0,86.11965689765611,18.0,90.1663802393185,85.66552095727403,18.0,89.92732528884305,84.70930115537223,,,,0.125916095105727,0.0,0.5301268647027735,0.3920820889962817,0.0,1.6649361086063408,,,,,,,
2025-03-17,18.0,90.11882132814998,99.14709027974287,12.616853345024701,9.0,85.47528531259992,18.0,90.27991422441403,86.11965689765611,18.0,90.17369874321739,85.69479497286953,,,,-0.1784371392551498,0.0,-0.7482282306604637,-0.06085745159869482,0.0,-0.2561528507526112,,,,,,,
2025-03-18,18.0,89.39462868668542,98.34470288077111,12.377739492819252,9.0,82.57851474674167,18.0,90.11882132814998,85.47528531259992,18.0,89.50599859099853,83.02399436399412,,,,-0.8035975513123406,0.0,-3.3890153806029333,-0.1244273077405822,0.0,-0.5365673148648664,,,,,,,
2025-03-19,18.0,89.53076644712945,98.01654614439316,12.488054005966786,9.0,83.12306578851783,18.0,89.39462868668542,82.57851474674167,18.0,89.926403624616,84.70561449846397,,,,0.1522885238677718,0.0,0.6594342892291438,-0.4399566329129301,0.0,-1.8682925793246374,,,,,,,
2025-03-20,18.0,89.72679619026816,98.73826850403817,12.600519454540828,9.0,83.90718476107266,18.0,89.53076644712945,83.12306578851783,18.0,89.90046872312007,84.60187489248025,,,,0.2189523790734782,0.0,0.9433229695230194,-0.1931831227563352,0.0,-0.8211285297051285,,,,89.97899069248325,84.91596276993302,,-1.0087780088603608
2025-03-21,18.0,89.85887970403839,99.54314776314149,12.452499498180842,9.0,84.43551881615355,18.0,89.72679619026816,83.90718476107266,18.0,90.09241351681082,85.3696540672433,18.0,89.44073825789418,82.76295303157673,0.1472063189352557,0.0,0.629664857169665,-0.25921584699122313,0.0,-1.0942240088661515,0.4675067025257995,0.0,2.0209111967508964,89.99292874068806,84.97171496275226,,-0.5361961465987122
2025-03-22,18.0,90.52538714523605,99.80041001744775,12.789212365492473,9.0,87.10154858094423,18.0,89.85887970403839,84.43551881615355,18.0,90.1663802393185,85.66552095727403,18.0,90.32142774698147,86.2857109879259,0.7417268536987098,0.0,3.157474250375114,0.3981604950367146,0.0,1.6763192561292328,0.2258150732802111,0.0,0.9455071803632586,89.99972738729655,84.9989095491862,,2.102639031758031
2025-03-23,18.0,89.41853050657355,98.37591527043037,12.645555597180282,9.0,82.67412202629417,18.0,90.52538714523605,87.10154858094423,18.0,90.27991422441403,86.11965689765611,18.0,89.32435479865079,82.29741919460314,-1.2227030157702656,0.0,-5.083062961315332,-0.9541255385990821,0.0,-4.000869250392613,0.10543116503336503,0.0,0.45773346889563804,90.00286657756062,85.01146631024257,,-2.337344283948397
2025-03-24,18.0,89.82129247591465,98.72253808292328,12.450465889032044,9.0,84.2851699036586,18.0,89.41853050657355,82.67412202629417,18.0,90.11882132814998,85.47528531259992,18.0,89.8499356065859,84.3997424263436,0.45042338211036537,0.0,1.9486724961554902,-0.3301517350653538,0.0,-1.3923503204333665,-0.03187885497956122,0.0,-0.13574984874507035,90.00191180653827,85.00764722615307,,-0.7224773224944698
2025-03-25,18.0,90.47650474910702,99.6895887382209,12.802472628179997,9.0,86.9060189964281,18.0,89.82129247591465,84.2851699036586,18.0,89.39462868668542,82.57851474674167,18.0,89.49783108685304,82.99132434741219,0.7294620853602884,0.0,3.109502058031377,1.210224907598656,0.0,5.240472371001537,1.0935166253405848,0.0,4.716992625191163,90.03453426194673,85.13813704778694,,1.7678819486411612
2025-03-26,18.0,89.8500612627517,99.20995070327147,12.564650417914025,9.0,84.40024505100678,18.0,90.47650474910702,86.9060189964281,18.0,89.53076644712945,83.12306578851783,18.0,90.06341234256747,85.25364937026993,-0.6923825009514495,0.0,-2.883314613138954,0.356631388619677,0.0,1.5364920078120736,-0.2368898471271197,0.0,-1.0010179336214509,90.02742255928621,85.10969023714482,,-0.7094451861380406
2025-03-27,18.0,90.23020782492141,99.55784802285844,12.674080551404703,9.0,85.92083129968564,18.0,89.8500612627517,84.40024505100678,18.0,89.72679619026816,83.90718476107266,18.0,89.81682916143112,84.26731664572449,0.42308993096624725,0.0,1.8016372437780426,0.5610493810408013,0.0,2.399849958435496,0.4602463339552054,0.0,1.9622253559026248,90.04120184806922,85.16480739227686,,0.7560239074087889
2025-03-28,18.0,89.93022897853605,98.75731944547867,12.540566951782225,9.0,84.72091591414419,18.0,90.23020782492141,85.92083129968564,18.0,89.85887970403839,84.43551881615355,18.0,90.08838105162513,85.35352420650052,-0.33245944303643693,0.0,-1.3965360523063852,0.07940147343552528,0.0,0.338005974253619,-0.17555213141021708,0.0,-0.7411624748215773,90.03593011229958,85.14372044919831,,-0.4228045350541265
2025-03-29,18.0,90.12839162866236,99.30362158858365,12.710279310735407,9.0,85.51356651464944,18.0,89.93022897853605,84.72091591414419,18.0,90.52538714523605,87.10154858094423,18.0,90.01117527748319,85.04470110993273,0.2203515462788408,0.0,0.9356020198229675,-0.43854605773380184,0.0,-1.8231387296392954,0.1302242202902315,0.0,0.5513164237130219,90.03983732400555,85.1593492960222,,0.354217218627241
2025-03-30,18.0,89.88576372809523,99.1143099714789,12.6246163238182,9.0,84.54305491238092,18.0,90.12839162866236,85.51356651464944,18.0,89.41853050657355,82.67412202629417,18.0,89.50667048613795,83.02668194455178,-0.26920251896513925,0.0,-1.1349212082064852,0.5225239319800012,0.0,2.260602036381276,0.4235363017061289,0.0,1.8263682617617238,90.05247376540413,85.2098950616165,,-0.6668401492355827
2025-03-31,18.0,90.33353273636418,98.8632885162371,12.565279257431225,9.0,86.3341309454567,18.0,89.88576372809523,84.54305491238092,18.0,89.82129247591465,84.2851699036586,18.0,90.3134385317645,86.25375412705804,0.4981534224078654,0.0,2.1185371582941093,0.5702882315870461,0.0,2.4309864287396676,0.022249407094165896,0.0,0.09318645804130554,90.05314357222412,85.21257428889648,,1.1215566565602302
2025-04-01,18.0,89.22747179629678,98.23433424651832,12.375325851485021,9.0,81.90988718518713,18.0,90.33353273636418,86.3341309454567,18.0,90.47650474910702,86.9060189964281,18.0,89.97561717407844,84.90246869631378,-1.2244190020724632,0.0,-5.124559327602052,-1.3805053104934073,0.0,-5.748890432371912,-0.8314979116333165,0.0,-3.5247284997456996,90.02820539296472,85.1128215718589,,-3.202934386671771
2025-04-02,18.0,89.81834399580573,97.71952645223513,12.428537915891882,9.0,84.2733759832229,18.0,89.22747179629678,81.90988718518713,18.0,89.8500612627517,84.40024505100678,18.0,89.50573549606705,83.0229419842682,0.6622088327885134,0.0,2.8854743661070437,-0.035300217384615085,0.0,-0.15031836425024592,0.3492608579842571,0.0,1.5061306779415862,90.03862567628934,85.15450270515741,,-0.8811267219345069
2025-04-03,18.0,90.14828633834715,99.40438182709246,12.639554265011878,9.0,85.59314535338862,18.0,89.81834399580573,84.2733759832229,18.0,90.23020782492141,85.92083129968564,18.0,91.1204632781029,89.48185311241159,0.3673440500715719,0.0,1.566057316166436,-0.09079164123528827,0.0,-0.3813812568387309,-1.0669139562961116,0.0,-4.345806019615816,90.00621977829748,85.02487911318998,,0.5682662401986391
2025-04-04,18.0,90.26684762400309,99.62370391368475,12.694605808538409,9.0,86.06739049601238,18.0,90.14828633834715,85.59314535338862,18.0,89.93022897853605,84.72091591414419,18.0,90.23821508335857,85.95286033343424,0.13151806925197906,0.0,0.5540690678742299,0.3743108955581276,0.0,1.589305978741673,0.031729950130410245,0.0,0.1332476454347642,90.00717419631899,85.02869678527593,,1.0386937107364531
2025-04-05,18.0,90.74647631137691,100.19489700540784,12.769603251470713,9.0,87.98590524550765,18.0,90.26684762400309,86.06739049601238,18.0,90.12839162866236,85.51356651464944,18.0,89.92336972330035,84.69347889320139,0.5313453388465117,0.0,2.2290843703274055,0.6857824394127965,0.0,2.8911654976227386,0.9153422415210999,0.0,3.8874614614166747,90.03461108258821,85.13844433035278,,2.847460915154869
2025-04-06,18.0,89.80448766656721,98.58741300713916,12.560830163858673,9.0,84.21795066626885,18.0,90.74647631137691,87.98590524550765,18.0,89.88576372809523,84.54305491238092,18.0,90.7076022633509,87.83040905340364,-1.0380443220489033,0.0,-4.282452477729304,-0.09042150631759505,0.0,-0.3845428183888222,-0.9956327521057018,0.0,-4.112992784695225,90.00450726269541,85.01802905078164,,-0.800078384512787
2025-04-07,18.0,90.73974088093044,99.96823838653552,12.587864077763825,9.0,87.95896352372175,18.0,89.80448766656721,84.21795066626885,18.0,90.33353273636418,86.3341309454567,18.0,90.9209078046933,88.68363121877321,1.0414326039425825,0.0,4.442061137627817,0.44967592018323455,0.0,1.8820280698621517,-0.19925771545530324,0.0,-0.8171380502719705,89.99846836523665,84.99387346094657,,2.9650900627751753
2025-04-08,18.0,89.67048808667016,99.34951381810778,12.485660852331446,9.0,83.68195234668066,18.0,90.73974088093044,87.95896352372175,18.0,89.22747179629678,81.90988718518713,18.0,89.92732528884305,84.70930115537223,-1.1783732065791974,0.0,-4.862507475872679,0.4965021214371923,0.0,2.163432550562705,-0.2856052944396392,0.0,-1.2127933942073565,89.9899071251642,84.95962850065686,,-1.277676153976202
2025-04-09,18.0,90.66432320577232,100.43764035049519,12.808240112704318,9.0,87.65729282308929,18.0,89.67048808667016,83.68195234668066,18.0,89.81834399580573,84.2733759832229,18.0,90.17369874321739,85.69479497286953,1.1083190694150868,0.0,4.750535049588045,0.9418779865348004,0.0,4.015404391227961,0.544088209081961,0.0,2.2901015759954513,90.00626127391605,85.02504509566418,,2.63224772742511
2025-04-10,18.0,90.40873356334919,99.43502057007083,12.60875984240888,9.0,86.63493425339675,18.0,90.66432320577232,87.65729282308929,18.0,90.14828633834715,85.59314535338862,18.0,89.50599859099853,83.02399436399412,-0.28190762737294595,0.0,-1.1663131917111325,0.28890979028100006,0.0,1.2171405732397167,1.0085748291304375,0.0,4.349272661553161,90.03635243966106,85.14540975864428,,1.489524494752473
2025-04-11,18.0,89.54327071018389,98.56725759656707,12.550399662493893,9.0,83.17308284073556,18.0,90.40873356334919,86.63493425339675,18.0,90.26684762400309,86.06739049601238,18.0,89.926403624616,84.70561449846397,-0.9572779299677592,0.0,-3.9959070119862883,-0.8015976328687002,0.0,-3.3628388621947503,-0.42605163665995205,0.0,-1.8092444837363164,90.02358134251334,85.09432537005333,,-1.921242529317766
2025-04-12,18.0,90.15351961862591,99.72432715285572,12.513927698250141,9.0,85.61407847450364,18.0,89.54327071018389,83.17308284073556,18.0,90.74647631137691,87.98590524550765,18.0,89.90046872312007,84.60187489248025,0.6815128636714185,0.0,2.934838472252177,-0.6534211760646169,0.0,-2.6956894566077194,0.28147895011003676,0.0,1.196431619641758,90.03201637236353,85.1280654894541,,0.48601298504954116
2025-04-13,18.0,89.9743820822339,98.22141928282622,12.630071796058651,9.0,84.89752832893562,18.0,90.15351961862591,85.61407847450364,18.0,89.80448766656721,84.21795066626885,18.0,90.09241351681082,85.3696540672433,-0.1987027651830009,0.0,-0.8369536393262877,0.1891825454174212,0.0,0.8069273323447979,-0.13101151358865248,0.0,-0.5530369584674677,90.02808199121095,85.11232796484384,,-0.21479963590822138
2025-04-14,18.0,90.3127922968375,99.18253365518275,12.598022465389343,9.0,86.25116918735,18.0,89.9743820822339,84.89752832893562,18.0,90.73974088093044,87.95896352372175,18.0,90.1663802393185,85.66552095727403,0.3761184092315295,0.0,1.5944408336243887,-0.47051995073821296,0.0,-1.9415807871714708,0.1623798772118823,0.0,0.6836452093346601,90.03296239312824,85.13184957251306,,1.1193196148369395
2025-04-15,18.0,89.88836420578335,99.54498585413006,12.689042260187247,9.0,84.55345682313339,18.0,90.3127922968375,86.25116918735,18.0,89.67048808667016,83.68195234668066,18.0,90.27991422441403,86.11965689765611,-0.4699534587073284,0.0,-1.9683354790576035,0.24297416436787067,0.0,1.0414485465662038,-0.4337066799347866,0.0,-1.8186325061466335,90.01991072584057,85.0796429033623,,-0.5261860802289107
2025-04-16,18.0,89.84637688716913,99.31861484672842,12.65584853482436,9.0,84.38550754867654,18.0,89.88836420578335,84.55345682313339,18.0,90.66432320577232,87.65729282308929,18.0,90.11882132814998,85.47528531259992,-0.04671051585508623,0.0,-0.1986308789339697,-0.9021699933134397,0.0,-3.732473555869331,-0.30231691556283913,0.0,-1.2749624174260954,90.01082924447455,85.04331697789819,,-0.6578094292216434
2025-04-17,18.0,90.68454729138142,99.93763390934453,12.64626602613591,9.0,87.7381891655257,18.0,89.84637688716913,84.38550754867654,18.0,90.40873356334919,86.63493425339675,18.0,89.39462868668542,82.57851474674167,0.9328928257896107,0.0,3.9730538030066542,0.30507420816703323,0.0,1.2734527031578846,1.4429486688925852,0.0,6.248204432603477,90.05382653129774,85.21530612519096,,2.522883040334733
2025-04-18,18.0,89.95063955277216,98.19278730538407,12.580423134653337,9.0,84.80255821108865,18.0,90.68454729138142,87.7381891655257,18.0,89.54327071018389,83.17308284073556,18.0,89.53076644712945,83.12306578851783,-0.8092974608464698,0.0,-3.345898727062535,0.45494076702510267,0.0,1.9591378781441904,0.46897074860925425,0.0,2.0204890262875974,90.06782230148583,85.27128920594333,,-0.46873099485468117
2025-04-19,18.0,90.41321116209588,99.42957716178489,12.60273793868936,9.0,86.65284464838354,18.0,89.95063955277216,84.80255821108865,18.0,90.15351961862591,85.61407847450364,18.0,89.72679619026816,83.90718476107266,0.5142504951866744,0.0,2.181875731495264,0.28805480314970655,0.0,1.2133123341264929,0.7650055512649301,0.0,3.2722583830326224,90.09070280054675,85.36281120218703,,1.290033446196503
2025-04-20,18.0,89.8873242574779,98.58109898510074,12.442282076392406,9.0,84.5492970299116,18.0,90.41321116209588,86.65284464838354,18.0,89.9743820822339,84.89752832893562,18.0,89.85887970403839,84.43551881615355,-0.5816482988035276,0.0,-2.427557487590426,-0.09675845806469408,0.0,-0.4101783713594154,0.03165469404158294,0.0,0.13475160140341558,90.09165095232808,85.36660380931228,,-0.8173067794006812
2025-04-21,18.0,90.83333162961377,100.08218424398376,12.630922185191208,9.0,88.33332651845505,18.0,89.8873242574779,84.5492970299116,18.0,90.3127922968375,86.25116918735,18.0,90.52538714523605,87.10154858094423,1.0524369035906256,0.0,4.4755303964322035,0.5763738663570273,0.0,2.4140627318133046,0.34017472235015056,0.0,1.4141860363896086,90.101915768474,85.40766307389599,,2.9256634445590635
2025-04-22,18.0,89.66083268533225,98.22224261146805,12.572338308718598,9.0,83.64333074132901,18.0,90.83333162961377,88.33332651845505,18.0,89.88836420578335,84.55345682313339,18.0,89.41853050657355,82.67412202629417,-1.2908245500259263,0.0,-5.309429591272307,-0.2531267783783431,0.0,-1.0763913339559283,0.2709753530795167,0.0,1.172324170224126,90.10999250776597,85.43997003106382,,-1.796639289734813
2025-04-23,18.0,89.69292823437641,98.14935936032676,12.589535902635657,9.0,83.77171293750563,18.0,89.66083268533225,83.64333074132901,18.0,89.84637688716913,84.38550754867654,18.0,89.82129247591465,84.2851699036586,0.035796621649497595,0.0,0.1534876660682638,-0.17079002861231096,0.0,-0.7273696977136201,-0.14291070413249285,0.0,-0.6091901656482102,90.10571369971467,85.42285479885872,,-1.6511418613530964
2025-04-24,18.0,90.76225859055795,98.80605181077192,12.721570993037378,9.0,88.04903436223181,18.0,89.69292823437641,83.77171293750563,18.0,90.68454729138142,87.7381891655257,18.0,90.47650474910702,86.9060189964281,1.192212560378536,0.0,5.105925705395453,0.08569409176939491,0.0,0.35428722619255115,0.3158320961263117,0.0,1.3152315328707864,90.11523882776304,85.46095531105217,,2.5880790511796334
2025-04-25,18.0,89.77752680455238,99.36618182749596,12.538680447241472,9.0,84.11010721820949,18.0,90.76225859055795,88.04903436223181,18.0,89.95063955277216,84.80255821108865,18.0,89.8500612627517,84.40024505100678,-1.0849573394243528,0.0,-4.473560865889404,-0.19245304878373615,0.0,-0.8165449338869313,-0.08072833471665097,0.0,-0.3437642066346447,90.11282101248973,85.45128404995894,,-1.3411768317494506
